customer_id;gate;over_credit_greatest;over_credit_ledger;paid_amount;receipts_after;receipts_live;sale_number;section;sibling_snap_bills;sibling_snap_drop;snap_drop_self;tender
ff3547a1-d241-4fff-8465-665ee86707bb;NEEDS_BUCKET_G;9000;10000;11000.00;10000;20000;POS/25-26/123;bill;0;0;1000;1000
07e95598-84b7-4e94-bb55-6ec0a961becd;NEEDS_BUCKET_G;0;3000;6500.00;3500;6500;POS/25-26/134;bill;0;0;3000;3000
b9bd7c57-36e6-458c-8867-fb88d4bf4001;NEEDS_BUCKET_G;0;4100;4100;0;4100;POS/25-26/667;bill;3;4600;0;4100
823962af-2422-49ff-b907-36bd2fb568fe;NEEDS_BUCKET_G;0;1000;2800.00;1800;2800;POS/25-26/714;bill;1;1500;1000;1000
3a4ef881-e561-4c0e-9764-1c8e903fe109;NEEDS_BUCKET_G;2100;3100;3100.00;2100;5200;POS/25-26/875;bill;1;500;1000;1000
54572eba-f362-4bf4-8bff-f51b4dfdd9e2;NEEDS_BUCKET_G;2500;5000;7500;5000;10000;POS/26-27/1126;bill;0;0;2500;2500
a6aad82f-0e2f-41fd-b60d-b109600be6e0;NEEDS_BUCKET_G;0;1000;2394;1394;2394;POS/26-27/1297;bill;0;0;1000;1000
5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEEDS_BUCKET_G;0;2750.0;2750.1;0;2750;POS/26-27/1326;bill;1;200;0;2750.1
5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEEDS_BUCKET_G;3000;3000;3000;3000;6000;POS/26-27/1361;bill;1;200;0;0
0e55c65b-151d-4192-9201-99ce4033d1d1;NEEDS_BUCKET_G;0;200;1200;0;200;POS/26-27/1363;bill;1;500;0;1200
b9bd7c57-36e6-458c-8867-fb88d4bf4001;NEEDS_BUCKET_G;1199.9992;1949.9992;2950;250.0008;2200;POS/26-27/1522;bill;3;4600;0;750
5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEEDS_BUCKET_G;0;6325;6325;0;6325;POS/26-27/1579;bill;1;200;0;6325
0616f278-8878-45fb-9dd4-ea899dfeb039;NEEDS_BUCKET_G;0;7584;12584;0;7584;POS/26-27/1787;bill;1;2416;0;12584
e3fdc1db-3a35-4627-a64a-ac9c8e6c34d7;NEEDS_BUCKET_G;0;499.9996;1400;900.0004;1400;POS/26-27/1820;bill;0;0;500;500
c6633e62-9c59-4c9d-bf64-d879faf9f264;NEEDS_BUCKET_G;0;3000;17800.00;14800;17800;POS/26-27/185;bill;0;0;3000;3000
5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEEDS_BUCKET_G;0;4000;4000;0;4000;POS/26-27/2023;bill;1;200;0;4000
0616f278-8878-45fb-9dd4-ea899dfeb039;NEEDS_BUCKET_G;2745;2745;2745.00;2745;5490;POS/26-27/221;bill;1;2416;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;NEEDS_BUCKET_G;3149;3149;3149.00;3149;6298;POS/26-27/536;bill;1;2416;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;NEEDS_BUCKET_G;3900;3900;3900.00;3900;7800;POS/26-27/580;bill;1;2416;0;0
0616f278-8878-45fb-9dd4-ea899dfeb039;NEEDS_BUCKET_G;1500;1500;1500.00;1500;3000;POS/26-27/70;bill;1;2416;0;0
b9bd7c57-36e6-458c-8867-fb88d4bf4001;NEEDS_BUCKET_G;0;500;900.00;400;900;POS/26-27/718;bill;3;4600;0;500
c085667a-c7ba-4a9f-b842-cead6f56310a;NEEDS_BUCKET_G;0.0004;400.0004;3000;2599.9996;3000;POS/26-27/765;bill;0;0;400;400
5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEEDS_BUCKET_G;6035;7035;9185;8185;15220;POS/26-27/771;bill;1;200;1000;1000
